Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet (Planetary),Metropolitan (High Risk),Dairy (Milk & Milkproducts),640876.7129421398
EAT-Lancet (Planetary),Metropolitan (High Risk),Cheese & Eggs,51834.854435168876
EAT-Lancet (Planetary),Metropolitan (High Risk),Fish,158144.3021475328
EAT-Lancet (Planetary),Metropolitan (High Risk),Plant Protein,311121.6465472414
EAT-Lancet (Planetary),Metropolitan (High Risk),Staples,719412.460585424
EAT-Lancet (Planetary),Metropolitan (High Risk),Rice,161882.42979233823
EAT-Lancet (Planetary),Metropolitan (High Risk),Veg & Fruit,781474.3354290059
EAT-Lancet (Planetary),Metropolitan (High Risk),Ultra-Processed,221648.16964592354
EAT-Lancet (Planetary),Metropolitan (High Risk),Soups,58949.364608951015
EAT-Lancet (Planetary),Metropolitan (High Risk),Beverages & Additions,16171.549831421044
EAT-Lancet (Planetary),Metropolitan (High Risk),Fats (Butter),11428.437288996462
EAT-Lancet (Planetary),Metropolitan (High Risk),Oils (Plant-based),91473.15197940674
EAT-Lancet (Planetary),Metropolitan (High Risk),Condiments,19017.38122633592
Schijf van 5 (Guideline),Metropolitan (High Risk),Red Meat,1091723.2681918733
Schijf van 5 (Guideline),Metropolitan (High Risk),Poultry,87807.55635606922
Schijf van 5 (Guideline),Metropolitan (High Risk),Dairy (Milk & Milkproducts),564531.0616789336
Schijf van 5 (Guideline),Metropolitan (High Risk),Cheese & Eggs,234699.5657430818
Schijf van 5 (Guideline),Metropolitan (High Risk),Fish,124379.52042172848
Schijf van 5 (Guideline),Metropolitan (High Risk),Plant Protein,174830.54465211026
Schijf van 5 (Guideline),Metropolitan (High Risk),Staples,696515.3441363215
Schijf van 5 (Guideline),Metropolitan (High Risk),Rice,95065.25265812954
Schijf van 5 (Guideline),Metropolitan (High Risk),Veg & Fruit,609793.0234523106
Schijf van 5 (Guideline),Metropolitan (High Risk),Ultra-Processed,325263.7403744289
Schijf van 5 (Guideline),Metropolitan (High Risk),Soups,64908.63748819457
Schijf van 5 (Guideline),Metropolitan (High Risk),Beverages & Additions,24371.82557027995
Schijf van 5 (Guideline),Metropolitan (High Risk),Fats (Butter),37290.40961908631
Schijf van 5 (Guideline),Metropolitan (High Risk),Oils (Plant-based),111911.44394516305
Schijf van 5 (Guideline),Metropolitan (High Risk),Condiments,21924.69532934572
Mediterranean Diet,Metropolitan (High Risk),Red Meat,776558.1146174456
Mediterranean Diet,Metropolitan (High Risk),Poultry,73456.17227795214
Mediterranean Diet,Metropolitan (High Risk),Dairy (Milk & Milkproducts),472263.3523108707
