Baseline_Diet,Goal_Reference,Category,Total_emissions_tonnes_per_year
EAT-Lancet (Planetary),Metropolitan (High Risk),Rice,105109.78761871762
EAT-Lancet (Planetary),Metropolitan (High Risk),Veg & Fruit,507408.99757800007
EAT-Lancet (Planetary),Metropolitan (High Risk),Ultra-Processed,143915.5074917412
EAT-Lancet (Planetary),Metropolitan (High Risk),Soups,38275.6498173
EAT-Lancet (Planetary),Metropolitan (High Risk),Beverages & Additions,10500.13994988
EAT-Lancet (Planetary),Metropolitan (High Risk),Fats (Butter),7420.450865490437
EAT-Lancet (Planetary),Metropolitan (High Risk),Oils (Plant-based),59393.249716499995
EAT-Lancet (Planetary),Metropolitan (High Risk),Condiments,12347.92994106
Schijf van 5 (Guideline),Metropolitan (High Risk),Red Meat,804716.0425742733
Schijf van 5 (Guideline),Metropolitan (High Risk),Poultry,64723.49845213227
Schijf van 5 (Guideline),Metropolitan (High Risk),Dairy (Milk & Milkproducts),416119.37301374995
Schijf van 5 (Guideline),Metropolitan (High Risk),Cheese & Eggs,172998.5164202614
Schijf van 5 (Guideline),Metropolitan (High Risk),Fish,91680.92168341347
Schijf van 5 (Guideline),Metropolitan (High Risk),Plant Protein,128868.686884875
Schijf van 5 (Guideline),Metropolitan (High Risk),Staples,513405.81231170555
Schijf van 5 (Guideline),Metropolitan (High Risk),Rice,70073.19174581175
Schijf van 5 (Guideline),Metropolitan (High Risk),Veg & Fruit,449482.2478545
Schijf van 5 (Guideline),Metropolitan (High Risk),Ultra-Processed,239753.9354277223
Schijf van 5 (Guideline),Metropolitan (High Risk),Soups,47844.56227162499
Schijf van 5 (Guideline),Metropolitan (High Risk),Beverages & Additions,17964.624914250002
Schijf van 5 (Guideline),Metropolitan (High Risk),Fats (Butter),27486.993937891162
Schijf van 5 (Guideline),Metropolitan (High Risk),Oils (Plant-based),82490.62460625
Schijf van 5 (Guideline),Metropolitan (High Risk),Condiments,16160.82992286
Mediterranean Diet,Metropolitan (High Risk),Red Meat,547390.9829033553
Mediterranean Diet,Metropolitan (High Risk),Poultry,51778.798761705824
Mediterranean Diet,Metropolitan (High Risk),Dairy (Milk & Milkproducts),332895.498411
Mediterranean Diet,Metropolitan (High Risk),Cheese & Eggs,137515.70712945194
Mediterranean Diet,Metropolitan (High Risk),Fish,128353.29035677889
